2023-10-17 14:20:09.374 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 7.0.1.Final
2023-10-17 14:20:09.653 [restartedMain] INFO  c.example.Trading.TradingApplication - Starting TradingApplication using Java 20.0.2 with PID 17188 (C:\Users\Sainath.a\Desktop\SpringProjectFiles\Trading\Trading\target\classes started by sainath.a in C:\Users\Sainath.a\Desktop\SpringProjectFiles\Trading\Trading)
2023-10-17 14:20:09.655 [restartedMain] DEBUG c.example.Trading.TradingApplication - Running with Spring Boot v3.0.11, Spring v6.0.12
2023-10-17 14:20:09.659 [restartedMain] INFO  c.example.Trading.TradingApplication - No active profile set, falling back to 1 default profile: "default"
2023-10-17 14:20:09.955 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-10-17 14:20:09.956 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-10-17 14:20:14.897 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-10-17 14:20:15.231 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 299 ms. Found 6 JPA repository interfaces.
2023-10-17 14:20:19.011 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-10-17 14:20:19.050 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-10-17 14:20:19.071 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-10-17 14:20:19.072 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.13]
2023-10-17 14:20:19.474 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-10-17 14:20:19.477 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 9518 ms
2023-10-17 14:20:21.048 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2023-10-17 14:20:21.473 [restartedMain] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.1.7.Final
2023-10-17 14:20:23.446 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-10-17 14:20:24.788 [restartedMain] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@4eeac48
2023-10-17 14:20:24.795 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2023-10-17 14:20:25.071 [restartedMain] INFO  SQL dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect
2023-10-17 14:20:29.053 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
