"SYMBOL","SYMBOL_NAME","INDEX_NAME","COMPANY_NAME","INDUSTRY","SERIES","ISIN_CODE","EXCHANGE","CREATED_AT","UPDATED_AT","SCRIP_CODE","","","","","","","","","","","","","","",""
"STK_ADANIPORTS_EQ_NSE","ADANIPORTS","Nifty 50","Adani Ports and Special Economic Zone Ltd.","SERVICES","EQ","INE742F01042","NSE","2021-01-05 8:17:17","0000-00-00 00:00:00","STK","","","","","","","","","","","","","","",""
"STK_ASIANPAINT_EQ_NSE","ASIANPAINT","Nifty 50","Asian Paints Ltd.","CONSUMER GOODS","EQ","INE021A01026","NSE","2021-01-05 8:17:17","0000-00-00 00:00:00","STK","","","","","","","","","","","","","","",""
"STK_AXISBANK_EQ_NSE","AXISBANK","Nifty 50","Axis Bank Ltd.","FINANCIAL SERVICES","EQ","INE238A01034","NSE","2021-01-05 8:17:17","0000-00-00 00:00:00","STK","","","","","","","","","","","","","","",""
"STK_BAJAJ-AUTO_EQ_NSE","BAJAJ-AUTO","Nifty 50","Bajaj Auto Ltd.","AUTOMOBILE","EQ","INE917I01010","NSE","2021-01-05 8:17:17","0000-00-00 00:00:00","STK","","","","","","","","","","","","","","",""
"STK_BAJAJFINSV_EQ_NSE","BAJAJFINSV","Nifty 50","Bajaj Finserv Ltd.","FINANCIAL SERVICES","EQ","INE918I01018","NSE","2021-01-05 8:17:17","0000-00-00 00:00:00","STK","","","","","","","","","","","","","","",""
"STK_BAJFINANCE_EQ_NSE","BAJFINANCE","Nifty 50","Bajaj Finance Ltd.","FINANCIAL SERVICES","EQ","INE296A01024","NSE","2021-01-05 8:17:17","0000-00-00 00:00:00","STK","","","","","","","","","","","","","","",""
"STK_BHARTIARTL_EQ_NSE","BHARTIARTL","Nifty 50","Bharti Airtel Ltd.","TELECOM","EQ","INE397D01024","NSE","2021-01-05 8:17:17","0000-00-00 00:00:00","STK","","","","","","","","","","","","","","",""
"STK_BPCL_EQ_NSE","BPCL","Nifty 50","Bharat Petroleum Corporation Ltd.","OIL & GAS","EQ","INE029A01011","NSE","2021-01-05 8:17:17","0000-00-00 00:00:00","STK","","","","","","","","","","","","","","",""
"STK_BRITANNIA_EQ_NSE","BRITANNIA","Nifty 50","Britannia Industries Ltd.","CONSUMER GOODS","EQ","INE216A01030","NSE","2021-01-05 8:17:17","0000-00-00 00:00:00","STK","","","","","","","","","","","","","","",""
"STK_CIPLA_EQ_NSE","CIPLA","Nifty 50","Cipla Ltd.","PHARMA","EQ","INE059A01026","NSE","2021-01-05 8:17:17","0000-00-00 00:00:00","STK","","","","","","","","","","","","","","",""
"STK_COALINDIA_EQ_NSE","COALINDIA","Nifty 50","Coal India Ltd.","METALS","EQ","INE522F01014","NSE","2021-01-05 8:17:17","0000-00-00 00:00:00","STK","","","","","","","","","","","","","","",""
"STK_DIVISLAB_EQ_NSE","DIVISLAB","Nifty 50","Divi's Laboratories Ltd.","PHARMA","EQ","INE361B01024","NSE","2021-01-05 8:17:17","0000-00-00 00:00:00","STK","","","","","","","","","","","","","","",""
